uuid,name,description,gps,country,state,town,notes
,La Gombe,Steengroeve,50.508794 5.566779,België,Vlaanderen,,
,"Todi, BE",Zwembad >6m,51.070633 5.224750,België,Vlaanderen,,
,Zilvermeer,Binnenwater,51.224731 5.171499,België,Vlaanderen,,
,Hamata Port,,24.287484 35.380296,Egypt,,,
,"Abu Galawa Kebir (wreck), EG",Rode Zee,24.227191 35.573413,Egypt,Hamata,,
,"Abu Galawa Kebir, EG",Rode Zee,24.228596 35.573733,Egypt,Hamata,,
,"Abu Galawa Soraya, EG",Rode Zee,24.253222 35.539939,Egypt,Hamata,,
,"Shaab Claudio, EG",Rode Zee,24.219895 35.611292,Egypt,Hamata,,
,"Shaab Hamam, EG",Rode Zee,24.262504 35.516373,Egypt,Hamata,,
,"Shaab Ini, EG",Rode Zee,24.217581 35.595558,Egypt,Hamata,,
,"Shaab Maksour, EG",Rode Zee,24.240665 35.653473,Egypt,Hamata,,
,"Shaab Malahi, EG",Rode Zee,24.214876 35.665120,Egypt,Hamata,,
,"Shaab Sataya South, EG",Rode Zee,24.156922 35.711481,Egypt,Hamata,,
,"Wadi Lahmy Azur Housereef, EG",Rode Zee,24.237609 35.416081,Egypt,Hamata,,
,"Abu Saile, EG",Rode Zee,25.429583 34.694408,Egypt,Marsa Alam,,https://www.wernerlau.com/en/diving-red-sea/marsa-alam/divesites/ 
,"Elphinstone, EG",Rode Zee,25.309756 34.860375,Egypt,Marsa Alam,,
,"Gabal el Rosas Bay, EG",Rode Zee,25.206036 34.809882,Egypt,Marsa Alam,,
,"Marsa Abu Dabbour, EG",Rode Zee,25.380334 34.718391,Egypt,Marsa Alam,,https://www.wernerlau.com/en/diving-red-sea/marsa-alam/divesites/ 
,"Marsa Egla, EG",Rode Zee,25.172297 34.842234,Egypt,Marsa Alam,,
,"Marsa Samadai, EG",Rode Zee,25.013339 34.925759,Egypt,Marsa Alam,,https://www.wernerlau.com/en/diving-red-sea/marsa-alam/divesites/ 
,"Marsa Shouna, EG",Rode Zee,25.467327 34.678763,Egypt,Marsa Alam,,https://www.wernerlau.com/en/diving-red-sea/marsa-alam/divesites/ 
,"Oasis Housereef, EG",Rode Zee,25.266284 34.785828,Egypt,Marsa Alam,,https://www.wernerlau.com/en/diving-red-sea/marsa-alam/divesites/ 
,"Shaab Marsa Alam, EG",Rode Zee,25.073117 34.937621,Egypt,Marsa Alam,,
,"Sheikh Malek, EG",Rode Zee,25.722719 34.552498,Egypt,Marsa Alam,,
,"Korafi-Port Ghalib, EG",Rode Zee,25.533533 34.639491,Egypt,Port Ghalib,,
,"Marsa Mubarak, EG",Rode Zee,25.512542 34.653207,Egypt,Port Ghalib,,
,"Green Hole Safaga, EG",Rode Zee,26.600051 34.019425,Egypt,Safaga,,https://www.divessi.com/nl/mydiveguide/destination/safaga-9752023 
